;;;;;;;;;;;;EVOLUCIÓN HISTÓRICA DE UNA ESTACIÓN;;;;;
;;;;;;;Estación:;A-156-5 Calzada:;;;Total;;Carriles:;;1+1;Prov:;A
;;;;;;;Población:;VILLAJOYOSA (VARIANTE);;;;;Carretera:;;N-332;PK:;141,90
;;;;;;;;;;;Denominación antigua:;;;;N-332;;
;;;;IMD;;;;;;% CRECIMIENTO;;;;;FUNCIONAMIENTO;;
;;;;;;;%;;;;;;;No;;Ref. Año;Grado
Año;Total;Moto;Lige;Bus;Camión;Pesa;Pesa;Total;Moto;Lige;Bus;Camión;Pesa;Días;%;Ant;Comarac
2013;21572;5;20395;3;1169;1172;5.4;0.96;-14.29;1.96;0;-13.72;-13.69;000;0;;
2012;21366;6;20002;3;1355;1358;6.4;0.77;-98.77;2.98;-97.46;16.91;4.95;093;100;;
2011;21203;486;19423;118;1159;1294;6.1;-9.71;56.27;-10.06;-18.06;-17.86;-17.89;000;0;A-156-3;
2010;23483;311;21596;144;1411;1576;6.7;18.3;19.62;18.28;21.01;17.88;18.32;000;0;;
2009;19850;260;18258;119;1197;1332;6.7;2.37;-6.14;5.28;310.34;-40.51;-24.75;0;33;;
2008;19390;277;17343;29;2012;1770;9.13;3.06;-77.59;2.67;-78.83;266.48;158.02;0;33;;
2007;18814;1236;16892;137;549;686;3,65;9.83;-14.88;13.61;-31.16;-10.15;-15.31;2;100;;
2006;17130;1452;14868;199;611;810;4,72;1,3;-6,26;2,5;68,64;-17,2;-5,37;001;66;;
2005;16909;1549;14504;118;738;856;5,06;0;0;0;0;0;0;001;66;;
2004;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2003;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2002;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2001;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2000;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1999;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1998;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1997;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1996;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1995;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1994;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1993;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1992;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1991;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1990;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1989;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1988;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1987;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1986;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1985;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1984;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1983;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1982;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1981;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1980;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1979;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1978;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1977;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1976;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1975;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1974;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1973;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1972;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1971;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1970;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1969;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
;;;;;;;;;;;;;;;;19/05/2014;
;;;;;;;;;;;;EVOLUCIÓN HISTÓRICA DE UNA ESTACIÓN;;;;;
;;;;;;;Estación:;CA-222-5 Calzada:;;;Total;;Carriles:;;2+2;Prov:;CA
;;;;;;;Población:;;CHICLANA DE LA F.;;;;Carretera:;;A-48;PK:;4,36
;;;;;;;;;;;Denominación antigua:;;;;A-48;;
;;;;IMD;;;;;;% CRECIMIENTO;;;;;FUNCIONAMIENTO;;
;;;;;;;%;;;;;;;No;;Ref. Año;Grado
Año;Total;Moto;Lige;Bus;Camión;Pesa;Pesa;Total;Moto;Lige;Bus;Camión;Pesa;Días;%;Ant;Comarac
2013;29979;2;28461;2;1514;1516;5.1;-4.8;-25;-5.49;0;10.42;10.41;000;0;;
2012;31489;3;30113;2;1371;1373;4.4;-1.93;-98.96;-0.89;-98.37;6.03;-4.59;082;96;;
2011;32110;288;30383;123;1293;1439;4.5;-12.96;19.5;-12.8;-23.13;-20.14;-20.37;020;100 CA-222-2;;
2010;36892;241;34844;160;1619;1807;4.9;3.14;-19.13;3.89;3.9;-6.79;-6.47;018;100;;
2009;35769;298;33539;154;1737;1932;5.4;5.62;12.03;6.77;-9.41;-55.99;-11.74;18;100;;
2008;33866;266;31411;170;3947;2189;6.46;-0.99;-36.36;-0.9;21.43;102.41;4.74;10;84;;
2007;34204;418;31696;140;1950;2090;6,11;141.23;200.72;143.8;41.41;107.45;101.15;000;33;;
2006;14179;139;13001;99;940;1039;7,32;0;0;0;0;0;0;001;66;;
2005;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2004;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2003;0;0;0;0;0;0;0;-100;-100;-100;-100;-100;-100;000;33;;
2002;2499;22;2282;26;169;195;7,8;13,07;266,66;13,13;73,33;-1,74;4,27;000;33;CA-222-3;
2001;2210;6;2017;15;172;187;8,46;3,41;0;3,48;0;2,99;2,74;000;33;CA-222-3;
2000;2137;6;1949;15;167;182;8,51;2,88;0;2,95;0;2,45;2,24;000;33;CA-222-3;
1999;2077;6;1893;15;163;178;8,57;0;0;0;0;0;0;000;33;CA-222-3;
1998;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1997;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1996;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1995;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1994;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1993;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1992;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1991;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1990;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1989;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1988;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1987;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1986;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1985;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
