Tipo;Estación;Calzada;Carriles;Provincia;Población;Carretera;PK;Total;Moto;Lige;Bus;Camión;Pesa;Días
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2013;14013;42;13178;414;371;000
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2012;15251;46;14347;450;400;000
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2011;17476;52;16422;516;476;000
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2010;19130;76;17907;484;649;000
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2009;20555;82;19184;522;751;0
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2008;25299;113;23512;617;1797;0
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2007;25236;187;23099;60;1890;1
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2006;25665;182;23446;200;1837;001
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2005;24662;164;22500;218;1780;001
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2004;23296;144;21218;200;1734;001
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2003;22620;154;20566;188;1712;001
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2002;21290;0;19502;132;1656;365
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2001;19988;0;18350;120;1518;365
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;2000;18122;0;16636;108;1378;365
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1999;16284;0;14934;98;1252;365
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1998;13628;0;12512;82;1034;365
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1997;11052;0;10168;64;820;365
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1996;10390;0;9592;58;740;365
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1995;10256;0;9436;60;760;365
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1994;10216;0;9400;60;756;365
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1993;10058;0;9254;60;744;365
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1992;10542;0;9656;66;820;001
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1991;10596;0;9718;64;814;001
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1990;10016;0;9206;56;754;001
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1989;9230;0;8520;52;658;001
Peajes;A-501-3;Total;2+2;A;OLIVA;AP-7;604,36;1988;8268;0;7630;48;590;001
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2013;25047;76;21814;740;2371;000
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2012;25245;76;22008;746;2369;000
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2011;26883;80;23382;794;2577;000
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2010;28402;112;24770;720;2740;000
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2009;29500;116;25701;750;2871;0
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2008;32470;290;28274;1567;2734;-7.35
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2007;35668;255;31197;131;4085;1
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2006;34940;248;30437;272;3983;001
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2005;33629;224;29067;298;4040;001
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2004;30629;190;25998;264;4177;001
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2003;26520;180;22680;220;3440;001
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2002;22918;0;19734;282;2902;365
Peajes;A-510-3;Total;2+2;A;;AP-7;738,90;2001;19624;0;17388;198;2038;365
Peajes;CU-509-3;Total;2+2;CU;;A-43;152,30;2013;5262;32;3336;206;1640;000
Peajes;CU-509-3;Total;2+2;CU;;A-43;152,30;2012;4940;20;3008;220;1658;000
Peajes;CU-509-3;Total;2+2;CU;;A-43;152,30;2011;5255;22;3198;235;1762;000
Peajes;CU-509-3;Total;2+2;CU;;A-43;152,30;2010;4012;18;3788;140;66;000
Peajes;CU-509-3;Total;2+2;CU;;A-43;152,30;2009;4409;20;2911;154;1298;0
Peajes;CU-509-3;Total;2+2;CU;;A-43;152,30;2008;2991;22;2072;152;172;0
Peajes;CU-509-3;Total;2+2;CU;;A-43;152,30;2007;3194;8;2330;28;828;1
Peajes;CU-509-3;Total;2+2;CU;;A-43;152,30;2006;1270;8;1110;8;144;001
Peajes;CU-510-3;Total;2+2;CU;;A-43;158,52;2013;5414;32;3542;212;1580;000
Peajes;CU-510-3;Total;2+2;CU;;A-43;158,52;2012;4940;20;3008;220;1658;000
Peajes;CU-510-3;Total;2+2;CU;;A-43;158,52;2011;5255;22;3198;235;1762;000
Peajes;CU-510-3;Total;2+2;CU;;A-43;158,52;2010;5392;24;3334;188;1810;000
Peajes;CU-510-3;Total;2+2;CU;;A-43;158,52;2009;4409;20;2911;154;1298;0
Peajes;CU-510-3;Total;2+2;CU;;A-43;158,52;2008;2981;0;2084;0;190;0
Peajes;CU-510-3;Total;2+2;CU;;A-43;158,52;2007;3194;8;2330;28;828;1
Peajes;CU-510-3;Total;2+2;CU;;A-43;158,52;2006;1270;8;1110;8;144;001
Peajes;CU-511-3;Total;2+2;CU;;A-43;167,31;2013;5152;32;3368;200;1504;000
Peajes;CU-511-3;Total;2+2;CU;;A-43;167,31;2012;4940;20;3008;220;1658;000
Peajes;CU-511-3;Total;2+2;CU;;A-43;167,31;2011;5255;22;3198;235;1762;000
