idNodo,idDispositivo,tfin tinicio,tdiferencia,latitud,longitud,majordeviceclass,minordeviceclass,serviceclass,fabricante
1388398421885,c5f150e413ffdb824cb177797c85028cc0559fcc,1395616117328,1395616117328,0,37.4514,-5.95452,null,null,null,null
1388398421885,fbb2d4b26b7aaf872530f50753c9f4780e64b36b,1395618952303,1395618952302,1,37.4514,-5.95452,null,null,null,null
1388398421885,48f2560e94ada6ca1aa536515773cc0813efec17,1395628312420,1395628312419,1,37.4514,-5.95452,null,null,null,null
1388398421885,fad47d1ebfee4668f021a7f9d4b44b706015b84f,1395635312371,1395635312370,1,37.4514,-5.95452,null,null,null,null
1388398421885,c32f1c1ad9f57d5942746968521c8c6a4c60bf3c,1395637430206,1395637430205,1,37.4514,-5.95452,null,null,null,null
1388398421885,b00eb968071d572ce3efbe47d98393a99ff7eca8,1395637940212,1395637940212,0,37.4514,-5.95452,null,null,null,null
1388398421885,28e9ee21e01e846b0f4014d8de6e023e3f568813,1395638668486,1395638668485,1,37.4514,-5.95452,null,null,null,null
1388398421885,1c7b25773ae0b73cfc46ea80d37bb813e9cab07a,1395638831384,1395638831383,1,37.4514,-5.95452,null,null,null,null
1388398421885,8523d3e77902eba8ecbf2a35f211cdff15ea4e18,1395638896279,1395638896279,0,37.4514,-5.95452,null,null,null,null
1388398421885,e8e851afeaa3bab2e453124380f413de7640f808,1395639106391,1395639106390,1,37.4514,-5.95452,null,null,null,null
1388398421885,e34268a082374f9858e12fe6a4f2540735289bc8,1395639147529,1395639147529,0,37.4514,-5.95452,null,null,null,null
1388398421885,9a439ab983f311b6843663c83af75e420c2ee8c5,1395639792270,1395639792270,0,37.4514,-5.95452,null,null,null,null
1388398421885,fad47d1ebfee4668f021a7f9d4b44b706015b84f,1395640105061,1395640105061,0,37.4514,-5.95452,null,null,null,null
1388398421885,75355f3f843b72773f2556396d8d71c4d09ad160,1395640137321,1395640137320,1,37.4514,-5.95452,null,null,null,null
1388398421885,1a0e5b3b93ca43c396181005c5400fe5cd505fee,1395640238578,1395640238577,1,37.4514,-5.95452,null,null,null,null
1388398421885,b5cc6297e8e37e10cafb91021fbd19726fef003d,1395640400183,1395640400182,1,37.4514,-5.95452,null,null,null,null
1388398421885,1b373193264abbec16e88932ca0179d05c2b8bf6,1395640555606,1395640555606,0,37.4514,-5.95452,null,null,null,null
1388398421885,76490ecd238cbf43e7abe86eac674da093ef6e73,1395640639717,1395640639717,0,37.4514,-5.95452,null,null,null,null
1388398421885,0bfc6901e6be7effe2c155d356d67e588ccbb5a1,1395640712743,1395640712742,1,37.4514,-5.95452,null,null,null,null
1388398421885,579df602b2d6272047a11cf87eef338b14926337,1395640834229,1395640834229,0,37.4514,-5.95452,null,null,null,null
1388398421885,c5e0920b5a59a208172f1cada203c14f391a4916,1395641177730,1395641177729,1,37.4514,-5.95452,null,null,null,null
1388398421885,b147a84f23ccb296a546814bb31b3d157c46ff93,1395641614640,1395641614639,1,37.4514,-5.95452,null,null,null,null
1388398421885,84d84fd57d6b88b6ed6c0f6b0efa7223bcac6187,1395641625224,1395641625223,1,37.4514,-5.95452,null,null,null,null
1388398421885,dbda76f1dfb66573f710f7a25a8c12c7717fab61,1395641643579,1395641643578,1,37.4514,-5.95452,null,null,null,null
1388398421885,5e0721bbdf71dcb4b4c9582ce55edafa54944e07,1395642072949,1395642072949,0,37.4514,-5.95452,null,null,null,null
1388398421885,fad47d1ebfee4668f021a7f9d4b44b706015b84f,1395642210532,1395642210531,1,37.4514,-5.95452,null,null,null,null
1388398421885,f2e2b6352f0989a5862fe1efc89e2b45d541e6d7,1395642433581,1395642433581,0,37.4514,-5.95452,null,null,null,null
1388398421885,e34268a082374f9858e12fe6a4f2540735289bc8,1395642506975,1395642506974,1,37.4514,-5.95452,null,null,null,null
1388398421885,a0958324268c59d7cca0ce6e69d4dfab3e53650a,1395642546406,1395642546406,0,37.4514,-5.95452,null,null,null,null
1388398421885,6eadb45718e2687baf9fa34069d9bf517c711e74,1395642977762,1395642977761,1,37.4514,-5.95452,null,null,null,null
1388398421885,dbda76f1dfb66573f710f7a25a8c12c7717fab61,1395643053045,1395643053044,1,37.4514,-5.95452,null,null,null,null
1388398421885,2cd818e16cbbb27f622b4fcb0429fc960c5607f3,1395643098063,1395643098062,1,37.4514,-5.95452,null,null,null,null
1388398421885,f88ff9b08e5096a2629716b58d215071abac62c8,1395643431112,1395643431111,1,37.4514,-5.95452,null,null,null,null
1388398421885,6597001b24339918144436e8f6d9a08ef6e92511,1395643461146,1395643461146,0,37.4514,-5.95452,null,null,null,null
1388398421885,9038dc0bb7510446c2489bf7d7e499f2306c5d22,1395643565260,1395643565259,1,37.4514,-5.95452,null,null,null,null
1388398421885,8be4a9ce304997b0da92b97f683d8b18ef4c4d21,1395643636286,1395643636285,1,37.4514,-5.95452,null,null,null,null
1388398421885,7bbe12e9dd1c165066e21a58dde918737fc12557,1395643686495,1395643686495,0,37.4514,-5.95452,null,null,null,null
1388398421885,ce5500558b0db3278de18748d7a80bcef3022882,1395643975871,1395643975871,0,37.4514,-5.95452,null,null,null,null
1388398421885,0ac1dffc2a2552a50437dcaaf9db140419f9611f,1395644005234,1395644005234,0,37.4514,-5.95452,null,null,null,null
1388398421885,fd28779c67bd6edc15fd52cf802bbe51a5cdee09,1395644013154,1395644013153,1,37.4514,-5.95452,null,null,null,null
1388398421885,c0868c8c67699d1fdbfb3623e772d9814731896b,1395644126714,1395644125442,1272,37.4514,-5.95452,null,null,null,null
1388398421885,fa5c49aeb2f928ed56bdf4686a2d3f82cfcd5c81,1395644126404,1395644126403,1,37.4514,-5.95452,null,null,null,null
1388398421885,3993123e8ac9a9037403d6a98665ca6430640f7c,1395644301622,1395644301622,0,37.4514,-5.95452,null,null,null,null
1388398421885,d44c48a4d628fc5386b6dab7c325fc09443fbeaa,1395644411883,1395644411883,0,37.4514,-5.95452,null,null,null,null
1388398421885,4df743e53a7bb7655f946901aedde37a687e74c1,1395644694400,1395644694399,1,37.4514,-5.95452,null,null,null,null
1388398421885,ed09ffc5c5471fa4ef8ab9b465d86efc949d3292,1395644797640,1395644797639,1,37.4514,-5.95452,null,null,null,null
1388398421885,96fb56fd3e447fbddf4795ccb5f1cba88ab5aa00,1395644830722,1395644830721,1,37.4514,-5.95452,null,null,null,null
1388398421885,84d84fd57d6b88b6ed6c0f6b0efa7223bcac6187,1395645713210,1395644866299,846911,37.4514,-5.95452,null,null,null,null
1388398421885,d6cf40e1ab0869cd297a91f578c8be18927acae8,1395644936980,1395644936979,1,37.4514,-5.95452,null,null,null,null
1388398421885,fbd1580147950acc8bb98558a9db3cb858c30f1a,1395645318996,1395645318996,0,37.4514,-5.95452,null,null,null,null
1388398421885,3cc90d8703fae4243c1d9f92ae42284bd5f4a743,1395645343178,1395645343177,1,37.4514,-5.95452,null,null,null,null
1388398421885,fad47d1ebfee4668f021a7f9d4b44b706015b84f,1395645543499,1395645543499,0,37.4514,-5.95452,null,null,null,null
1388398421885,b7f3a3374a75c2eaa4a06606966a0a5c465fd64d,1395645563012,1395645563011,1,37.4514,-5.95452,null,null,null,null
1388398421885,3b297ba17b8f172b5e5cad2eef68f0acd86bf233,1395645573837,1395645573836,1,37.4514,-5.95452,null,null,null,null
1388398421885,e4f427a868ed83bc2d8651c1eb95555c6493f4fb,1395645778331,1395645778330,1,37.4514,-5.95452,null,null,null,null
1388398421885,3da407679d0a5734347b6631ffa49f4c7f7f4a32,1395645971942,1395645971941,1,37.4514,-5.95452,null,null,null,null
1388398421885,a9f9851e07327c377660d679498fb66af5251ee7,1395646381001,1395646381001,0,37.4514,-5.95452,null,null,null,null
1388398421885,8001f6d25c964aa0d9b38ee4e4b6ff80daaee541,1395646511849,1395646511849,0,37.4514,-5.95452,null,null,null,null
1388398421885,4c1a9cd93ab95cbfc995a09381cd7d8952c23502,1395646620211,1395646620211,0,37.4514,-5.95452,null,null,null,null
1388398421885,ed63f1d24b9615cebd175629f6acbdd634fef2c6,1395646710606,1395646710606,0,37.4514,-5.95452,null,null,null,null
1388398421885,a5943d8d0b4c47cbeded3e5949802a3723f63cfe,1395646717183,1395646717183,0,37.4514,-5.95452,null,null,null,null
1388398421885,f8876df89ebeedb595bfdccea3b50175cd6e33f9,1395646758852,1395646758851,1,37.4514,-5.95452,null,null,null,null
1388398421885,22606131a62adf67ae703707db8a968586e5b12f,1395646848800,1395646848800,0,37.4514,-5.95452,null,null,null,null
1388398421885,08129c132e36ccfb09fdcf913cd99d7e37e8e87a,1395646991595,1395646991594,1,37.4514,-5.95452,null,null,null,null
1388398421885,464cab23c626c471feba443ff8000cf396260e66,1395647011090,1395647011089,1,37.4514,-5.95452,null,null,null,null
1388398421885,1ca44b26ec55c5d29689541c16c787845f0b36eb,1395647040832,1395647040831,1,37.4514,-5.95452,null,null,null,null
1388398421885,7a07c66388de8f733f52e2b640890498477c2290,1395647199133,1395647199132,1,37.4514,-5.95452,null,null,null,null
1388398421885,84772bfa8840df313fece8a371ab044f837e6cd2,1395647339782,1395647339781,1,37.4514,-5.95452,null,null,null,null
1388398421885,e8b636c33b13c7703c4f7c2adaeaeb57dbcb78d0,1395647347221,1395647347221,0,37.4514,-5.95452,null,null,null,null
1388398421885,a5e7e2aa3ba6e202c6698402b91dd2a91c4fea03,1395647401064,1395647401064,0,37.4514,-5.95452,null,null,null,null
1388398421885,130795f3fed404c5cd84fbca87b8a93ada9d937b,1395647410217,1395647410217,0,37.4514,-5.95452,null,null,null,null
1388398421885,1eb88c709d3590fd9af55db7c0e73aceda875f51,1395647502264,1395647502263,1,37.4514,-5.95452,null,null,null,null
1388398421885,ee064fe02c81164ec7d00c30c70c6b653271b90d,1395647603305,1395647603304,1,37.4514,-5.95452,null,null,null,null
1388398421885,222ad22571bc254ca6c45c897dd5838e1de74dba,1395647640832,1395647640832,0,37.4514,-5.95452,null,null,null,null
1388398421885,8a5e84165c0ad3c9025ab07de4e9d1d9bfc01bfc,1395647815800,1395647815800,0,37.4514,-5.95452,null,null,null,null
1388398421885,426b9435b00ec68014c37c4b5f6d7ce70a4ba81a,1395647910618,1395647910617,1,37.4514,-5.95452,null,null,null,null
1388398421885,735c491855bfb4505ad5bff17c9517c93c078fb8,1395647963998,1395647963997,1,37.4514,-5.95452,null,null,null,null
1388398421885,c2570cdf80f2386dc5e4e56063f22380e43fd687,1395647992774,1395647992773,1,37.4514,-5.95452,null,null,null,null
1388398421885,4772b43c49e00ecb7a473061c868829c0222f042,1395648262369,1395648262368,1,37.4514,-5.95452,null,null,null,null
1388398421885,f0507d6041205a1c5197da62c471e7b275431bb9,1395648417105,1395648417105,0,37.4514,-5.95452,null,null,null,null
1388398421885,a193d8052347ac9826c2a6bd19cb550c1ada8b48,1395648487760,1395648487759,1,37.4514,-5.95452,null,null,null,null
1388398421885,0f97dae96817b42fe19b8fe9fc10cf2a504de9ba,1395648741396,1395648741395,1,37.4514,-5.95452,null,null,null,null
1388398421885,216ba0f531015030201db368c16536184bb189c4,1395648966492,1395648966492,0,37.4514,-5.95452,null,null,null,null
1388398421885,5ecaa79175d312a84d2fed9153bdf67661f91eda,1395649010426,1395649010425,1,37.4514,-5.95452,null,null,null,null
1388398421885,3b2f4aa6c3e50460d55660e7a7b16f49c1f6cef2,1395649163185,1395649163184,1,37.4514,-5.95452,null,null,null,null
1388398421885,f88ff9b08e5096a2629716b58d215071abac62c8,1395649165326,1395649165325,1,37.4514,-5.95452,null,null,null,null
1388398421885,e3dff3aee5a277e2d85b6000694b56f4a2b45994,1395649215395,1395649215395,0,37.4514,-5.95452,null,null,null,null
1388398421885,ee3f516238478079bc3f0ecde23efb7b8ee0623a,1395649414771,1395649414771,0,37.4514,-5.95452,null,null,null,null
1388398421885,27f7f02db4e9adf4ce169fde1add8162e9df9d5f,1395649566462,1395649566461,1,37.4514,-5.95452,null,null,null,null
1388398421885,a462aeeba3fe08c45f874e624bcf9b325d0b2284,1395649613479,1395649613479,0,37.4514,-5.95452,null,null,null,null
1388398421885,717ab2d3c46a1d1693703381b3792756011b9cc0,1395649766317,1395649766316,1,37.4514,-5.95452,null,null,null,null
1388398421885,b86f6924f32777afbc8a015641e2f90b49465069,1395649891390,1395649891390,0,37.4514,-5.95452,null,null,null,null
1388398421885,566fd2eb793c282a72acc9eda39d19840cb4d1f2,1395649996208,1395649996207,1,37.4514,-5.95452,null,null,null,null
1388398421885,c32f1c1ad9f57d5942746968521c8c6a4c60bf3c,1395650005618,1395650005618,0,37.4514,-5.95452,null,null,null,null
1388398421885,e001c42d22a29a24d27a45007115739010651a61,1395650407955,1395650407955,0,37.4514,-5.95452,null,null,null,null
1388398421885,b3a67c57b3e9959a1e11ca6d291ac294a84ec5bb,1395650477197,1395650477196,1,37.4514,-5.95452,null,null,null,null
1388398421885,cb6abc49115402b39a03ba0a20d4fb3502b79a21,1395650811861,1395650811861,0,37.4514,-5.95452,null,null,null,null
1388398421885,216ba0f531015030201db368c16536184bb189c4,1395650969670,1395650969669,1,37.4514,-5.95452,null,null,null,null
1388398421885,fad47d1ebfee4668f021a7f9d4b44b706015b84f,1395651013922,1395651013921,1,37.4514,-5.95452,null,null,null,null
1388398421885,c65f54bdfec1ca2a0582386220db2ab6df6644b9,1395651014998,1395651014998,0,37.4514,-5.95452,null,null,null,null
1388398421885,e4c5bbf1ee18006fe7102f97a47a293ebb564332,1395651116246,1395651116246,0,37.4514,-5.95452,null,null,null,null
1388398421885,6b7075a34fb551bda15b5cb75ce963b7977ac3d5,1395651152178,1395651152177,1,37.4514,-5.95452,null,null,null,null
1388398421885,5f73a81f182ddee406d133c110083befe3613a2e,1395651203532,1395651203531,1,37.4514,-5.95452,null,null,null,null
1388398421885,d87faba96e9046638452ea8f34552d00cc75e483,1395651221114,1395651221113,1,37.4514,-5.95452,null,null,null,null
1388398421885,c7a02e2de41b10c1286f843a92cfdb56f4633436,1395651320040,1395651320039,1,37.4514,-5.95452,null,null,null,null
1388398421885,4838aaced7e51b0897c890cd11a58c87bd8664cf,1395651478126,1395651478125,1,37.4514,-5.95452,null,null,null,null
1388398421885,a2ae61827b1e35c9319f66d406dbff7fb7aea8e1,1395651643907,1395651643906,1,37.4514,-5.95452,null,null,null,null
1388398421885,6f2d20d9e35c2297dfaf7408b406cb7724e6364e,1395652050830,1395652050830,0,37.4514,-5.95452,null,null,null,null
1388398421885,8a389c5bc397081250be3541813ca07bc0583bc9,1395652317404,1395652317403,1,37.4514,-5.95452,null,null,null,null
1388398421885,1c0324edd034d11dd503d6f62daeb8069608f61c,1395652360333,1395652360333,0,37.4514,-5.95452,null,null,null,null
